,TSNE1,TSNE2
121,-10.002079,-7.7549543
122,-8.7413025,17.597075
123,-10.159734,-4.5172796
124,26.64172,-3.0385458
125,-12.268368,-6.306605
126,-6.84381,-13.210587
127,23.858011,-4.9564185
128,-3.1224174,-15.1885805
129,-7.2745757,14.106164
130,-13.303394,3.4939983
131,-8.535379,-10.826257
132,-9.068714,12.020593
133,-5.537075,0.11325055
134,25.661285,-5.0786147
135,-14.234329,11.954702
136,25.76234,-2.7292118
137,28.722448,-3.806528
138,-10.481842,23.922804
139,-15.14605,13.116708
140,28.33644,-0.266911
141,25.603903,-1.3829808
142,-11.207202,21.6429
143,25.047005,-2.385708
144,28.285078,-1.5921882
145,-5.8563933,-6.4926877
146,27.041204,-3.7062309
147,-11.534634,21.078402
148,26.15977,-2.5834846
149,-12.854112,-3.975833
150,-5.7413087,-16.0155
151,-10.136657,-2.6390896
152,25.02579,-1.8630705
153,27.260317,-0.51210326
154,28.437592,-3.7611465
155,29.22357,-3.9112444
156,-14.301843,11.607284
157,-13.982552,-4.413406
158,29.257097,-2.221109
159,-8.449682,4.3940687
160,28.82764,-2.9781137
161,25.949776,-1.769068
162,26.027676,-0.9471609
163,-13.007253,16.504221
164,26.911856,-2.6597476
165,29.384583,-3.4626913
166,26.837086,-1.2871807
167,-7.241251,-11.806624
168,28.818539,-1.495011
169,27.588203,-3.9325643
170,-10.089221,13.951498
171,-10.935483,27.933262
172,-8.022242,0.0473198
173,26.435472,-2.2312536
174,-9.866751,-2.46636
175,26.727348,-0.47363597
176,-2.4497662,-17.372066
177,-6.952297,-1.1093142
178,-9.641515,6.75488
179,-13.478388,-7.0977445
180,-12.67623,25.134804
181,26.210812,-1.2987082
182,-9.339732,-10.842131
183,-9.06961,-16.486326
184,-10.399409,-2.446235
185,-8.151121,8.46325
186,-8.203932,12.841527
187,-7.3050475,-7.5170274
188,-12.496583,1.7734691
189,-11.384016,9.567123
190,-12.921746,-0.15188235
191,-12.37515,22.247812
192,-9.964558,-11.508792
193,-14.726392,13.119632
194,-8.212198,16.195152
195,1.4591383,-16.373394
196,-7.664797,9.770026
197,28.1692,-1.1750726
198,-7.495349,10.219869
199,-7.5814257,-5.1750336
200,28.374376,-3.0585191
201,-11.441605,27.912766
202,-15.42938,10.747032
203,-10.810336,27.907854
204,-8.723993,14.570582
205,-9.399851,22.885157
206,-12.744625,-8.917943
207,-8.390404,3.957049
208,-7.030447,-1.2162021
209,-9.2981,-12.624097
210,-14.010483,-5.089226
211,-10.530864,14.578074
212,25.52902,-2.4037726
213,25.40487,-1.5846082
214,-9.568096,6.822343
215,-12.197338,12.807834
216,26.361998,-2.852036
217,-7.7932777,-9.453954
218,-10.61234,26.340223
219,-11.161177,27.612854
